maxbll,num_drop_zipsbelow0,num_drop_zipsbelow025,num_drop_zipsbelow033,num_drop_zipsbelow05
1,285997,276430,261564,200602
2,45191,44287,42773,36743
3,25338,24735,23730,19739
4,10583,10400,10131,8785
5,6910,6798,6647,5868
6,3349,3301,3230,2876
7,2119,2094,2060,1852
8,1432,1409,1383,1237
9,1001,993,976,880
10,600,592,588,523
11,519,509,502,432
12,389,385,381,334
13,301,298,292,250
14,244,243,240,216
15,152,151,151,137
16,152,152,148,134
17,133,132,131,119
18,102,102,101,86
19,93,92,89,83
20,65,65,64,60
21,69,69,68,63
22,50,50,49,45
23,49,49,48,38
24,38,35,35,30
25,32,32,32,30
26,32,32,32,30
27,32,32,32,28
28,22,22,22,22
29,31,31,29,29
30,17,17,17,15
31,18,17,17,13
32,14,13,13,11
33,11,11,11,10
34,12,12,12,11
35,9,8,7,7
36,6,6,6,6
37,8,8,7,7
38,8,8,8,8
39,4,4,4,4
40,7,7,7,6
41,5,5,5,5
42,3,3,3,2
43,3,3,3,3
44,4,4,4,4
45,4,4,4,4
46,2,2,2,2
47,4,4,4,4
48,5,5,5,5
49,5,5,5,4
50,4,4,4,2
51,1,1,1,0
52,3,3,3,3
53,2,2,2,1
54,2,2,2,2
55,2,2,2,2
56,2,2,2,1
57,2,2,2,2
59,1,1,1,1
60,1,1,1,1
61,2,2,2,2
62,1,1,1,1
63,1,1,1,1
65,5,5,5,4
66,1,1,1,0
67,1,1,1,1
76,4,4,4,2
85,1,1,1,1
